Object Number,Mnemonic,Classification,Artist,Alpha Sort,Title Sort,Date,Begin Date,Medium,Dimensions,Extended Medium,Credit Line
31.96,PC,Prints,Howard Cook,Cook Howard,The Lobo,-1927,1927,Etching,"Sheet (Irregular): 7 13/16 x 10 1/2in. (19.8 x 26.7 cm)
Plate: 3 15/16 x 5 15/16in. (10 x 15.1 cm)",,Purchase
31.961,PC,Prints,Howard Cook,Cook Howard,Taos Plaza,-1927,1927,Etching,"Sheet (Irregular): 10 x 13 3/4in. (25.4 x 34.9 cm)
Plate: 8 x 11 15/16in. (20.3 x 30.3 cm)",,Purchase
31.962,PC,Prints,Morris Kantor,Kantor Morris,Head,n.d.,0,Etching,"Sheet (Irregular): 11 3/8 x 8 1/16in. (28.9 x 20.5 cm)
Plate: 6 3/4 x 4 15/16in. (17.2 x 12.5 cm)",,Purchase
31.963,PC,Prints,Charles Locke,Locke Charles,Century Club,-1926,1926,Lithograph with chine-collé,"Sheet: 11 3/8 x 11in. (28.9 x 27.9 cm)
Image: 8 1/8 x 6 7/8in. (20.6 x 17.5 cm)",,Purchase
31.964,PC,Paintings,Nan Watson,Watson Nan,"Grapes, Plums and Roses",n.d.,0,Oil on canvas,Overall: 13 x 16in. (33 x 40.6 cm),,
31.966,PC,Prints,Jerome Myers,Myers Jerome,Six Women,(c. 1920),1915,Etching,"Sheet (Irregular): 11 1/16 x 12 5/8in. (28.1 x 32.1 cm)
Plate: 7 9/16 x 9 13/16in. (19.2 x 24.9 cm)",Color etching,Purchase
31.967,PC,Prints,Alfred Henry Maurer,Maurer Alfred Henry,Untitled,-1924,1924,Linoleum cut,"Sheet: 15 9/16 x 6 13/16in. (39.5 x 17.3 cm)
Image: 2 1/8 x 4 9/16in. (5.4 x 11.6 cm)",,Gift of Gertrude Vanderbilt Whitney
31.968,PC,Prints,John Sloan,Sloan John,Robert Henri,1902,1902,Etching,"Sheet (Irregular): 12 5/16 x 9 3/8in. (31.3 x 23.8 cm)
Plate: 6 5/8 x 4 7/16in. (16.8 x 11.3 cm)",,Purchase
31.969,PC,Prints,John Sloan,Sloan John,6th Ave Greenwich Village,1923,1923,Etching,"Sheet (Irregular): 9 3/4 x 12 11/16in. (24.8 x 32.2 cm)
Plate: 4 15/16 x 6 7/8in. (12.5 x 17.5 cm)",,Purchase
31.970a-b,PC,Decorative Arts and Utilitarian Objects,Carl Walters,Walters Carl,Entrance Door Panels,1931,1931,Cast glass panels in aluminum frame,"Overall: 96 1/2 x 59 3/4 x 6 1/2in. (245.1 x 151.8 x 16.5 cm)
Overall (each panel): 7 1/2 x 7 1/2in. (19.1 x 19.1 cm)",,Gift of Gertrude Vanderbilt Whitney
32.1,PC,Drawings,Gaston Lachaise,Lachaise Gaston,"Nude, Number 1",n.d.,0,Graphite pencil on paper,Sheet: 11 x 8 1/2in. (27.9 x 21.6 cm),,Purchase
32.2,PC,Drawings,Gaston Lachaise,Lachaise Gaston,Nude - Male,(c. 1931),1926,Graphite pencil on paper,Sheet: 11 x 8 1/2in. (27.9 x 21.6 cm),,Purchase
32.3,PC,Drawings,Karl Free,Free Karl,Finale,-1928,1928,Opaque and transparent watercolor on paper,Sheet (Irregular): 17 3/4 x 12in. (45.1 x 30.5 cm),,Purchase
32.4,PC,Drawings,Konrad Cramer,Cramer Konrad,Viaduct,1931,1931,"Pen and ink, brush and ink, and wash on paper",Sheet: 10 1/4 x 15 1/4in. (26 x 38.7 cm),,Purchase
32.5,PC,Drawings,Konrad Cramer,Cramer Konrad,Florence,(c. 1930),1930,Pen and charcoal wash on paper,Sheet: 8 1/2 x 11in. (21.6 x 27.9 cm),,Purchase
32.6,PC,Prints,Mabel Dwight,Dwight Mabel,Deserted Mansion,1928,1928,Lithograph,"Sheet (Irregular): 15 7/8 x 11 1/2in. (40.3 x 29.2 cm)
Image: 11 7/16 x 9 5/8in. (29.1 x 24.4 cm)",,Purchase
32.7,PC,Drawings,George Overbury (Pop) Hart,Hart George Overbury (Pop),The Bahamas,(c. 1918),1913,Watercolor on paper,Sheet: 13 7/8 x 22in. (35.2 x 55.9 cm),,Purchase
32.8,PC,Paintings,Jennings Tofel,Tofel Jennings,Hagar,-1931,1931,Oil on canvas,Overall: 25 3/4 x 31 7/8in. (65.4 x 81 cm),,Purchase
32.1,PC,Drawings,Jacob Getlar Smith,Smith Jacob Getlar,Self Portrait,1931,1931,Watercolor and brush and ink on paper,Sheet: 19 13/16 x 13 13/16in. (50.3 x 35.1 cm),,Purchase
32.14,PC,Paintings,Georgia O'Keeffe,O'Keeffe Georgia,"The Mountain, New Mexico",1931,1931,Oil on canvas,"Overall: 30 1/16 x 36 1/8in. (76.4 x 91.8 cm)
Frame: 31 1/4 x 37 3/8in. (79.4 x 94.9 cm)",,Purchase
32.15,PC,Sculpture,Duncan Ferguson,Ferguson Duncan,Male Figure,n.d.,0,Bronze,Overall: 71 3/4 x 24 x 19 3/4in. (182.2 x 61 x 50.2 cm),,Purchase
32.16a-b,PC,Sculpture,Concetta Scaravaglione,Scaravaglione Concetta,Standing Figure,1931,1931,Mahogany,"Overall: 25 11/16 x 7 1/8 x 6 3/8in. (65.2 x 18.1 x 16.2 cm)
Overall (with base): 27 3/4 x 7 1/8 x 6 3/8in. (70.5 x 18.1 x 16.2 cm)",,Purchase
32.17,PC,Paintings,Eugene Higgins,Higgins Eugene,Overlabor,1931-1932,1931,Oil on linen,Overall: 30 1/8 x 40 1/8in. (76.5 x 101.9 cm),,Purchase
32.18,PC,Drawings,Bruce Mitchell,Mitchell Bruce,View of a Lake,-1932,1932,Opaque watercolor on paper,Sheet (Irregular): 14 1/4 x 22 1/16in. (36.2 x 56 cm),,Purchase
32.19,PC,Drawings,George Picken,Picken George,"Milford Beach, Long Island Sound",1930,1930,"Transparent and opaque watercolor, and graphite pencil on paper",Sheet (Irregular): 14 x 20in. (35.6 x 50.8 cm),,Purchase
32.2,PC,Drawings,Abraham Walkowitz,Walkowitz Abraham,"Isadora Duncan, Number 10",(c. 1909),1904,"Watercolor, brush and ink, and graphite pencil on paper","Sheet: 9 7/8 x 8in. (25.1 x 20.3 cm)
Mount (board, irregular): 11 9/16 x 9 1/2in. (29.4 x 24.1 cm)",,Purchase
32.21,PC,Paintings,Stuart Edie,Edie Stuart,Girl with Book,1932,1932,Oil on canvas,Overall: 24 x 18 1/16in. (61 x 45.9 cm),,Purchase
32.23,PC,Drawings,Carl Sprinchorn,Sprinchorn Carl,Four Football Players,(c. 1930),1925,Opaque watercolor and pastel on paper,Sheet (Irregular): 15 11/16 x 20 5/16in. (39.8 x 51.6 cm),,Purchase
32.25,PC,Paintings,Walt Kuhn,Kuhn Walt,The Blue Clown,1931,1931,Oil on canvas,Overall: 30 1/4 x 25 3/16in. (76.8 x 64 cm),,Purchase
32.26,PC,Paintings,Georgia O'Keeffe,O'Keeffe Georgia,The White Calico Flower,-1931,1931,Oil on canvas,Overall: 30 3/16 x 36 3/16in. (76.7 x 91.9 cm),,Purchase
32.28a-b,PC,Paintings,Luigi Lucioni,Lucioni Luigi,Victorian Still Life,1931,1931,Oil on linen mounted on cardboard,Overall: 11 1/2 x 17 1/4in. (29.2 x 43.8 cm),,Purchase
32.29,PC,Paintings,Herbert Meyer,Meyer Herbert,Summer in Pawlet,1932,1932,Oil on canvas,Overall: 28 1/16 x 36 3/16in. (71.3 x 91.9 cm),,Purchase
32.3,PC,Paintings,R. G. Wilson,Wilson R. G.,Self Portrait,-1931,1931,Oil on canvas,Overall: 24 1/16 x 18 1/8in. (61.1 x 46 cm),,Purchase
32.31,PC,Drawings,Mary S. Powers,Powers Mary S.,"Terraces, Mallorca",1931,1931,Watercolor and fabricated chalk on paper,Sheet: 24 x 18 13/16in. (61 x 47.8 cm),Watercolor and black fabricated chalk on paper,Purchase
32.32a-b,PC,Drawings,Carl Ruggles,Ruggles Carl,"The Pool, Roaring Branch",-1932,1932,Oil and charcoal on paper (recto); Graphite pencil on paper (verso),Sheet: 19 1/4 x 15 3/16in. (48.9 x 38.6 cm),,Purchase
32.34,PC,Paintings,Bernar Gussow,Gussow Bernar,Subway Stairs,(n.d.),0,Oil on composition board,Overall: 24 3/4 x 30in. (62.9 x 76.2 cm),,Purchase
32.37,PC,Drawings,Eugenie Gershoy,Gershoy Eugenie,"Market, Granada",1932,1932,Pen and brown ink on paper mounted on board,"Sheet: 7 13/16 x 10 7/16in. (19.8 x 26.5 cm)
Mount (board): 13 11/16 x 18 1/16in. (34.8 x 45.9 cm)",,Purchase
32.38,PC,Drawings,Eugenie Gershoy,Gershoy Eugenie,Port of Palma,1932,1932,Pen and brown ink on paper mounted on paper,"Sheet: 6 3/16 x 9 7/8in. (15.7 x 25.1 cm)
Mount (board): 12 7/8 x 16 1/8in. (32.7 x 41 cm)",,Purchase
32.39,PC,Drawings,Eugenie Gershoy,Gershoy Eugenie,Street in Andalusia,1932,1932,Pen and brown ink on paper mounted on board,"Sheet: 7 3/4 x 10in. (19.7 x 25.4 cm)
Mount (board): 13 11/16 x 18 1/16in. (34.8 x 45.9 cm)",,Purchase
32.41,PC,Drawings,Maurice Prendergast,Prendergast Maurice,"Central Park, 1900",1900,1900,"Watercolor, pastel, and graphite pencil on paper",Sheet: 15 1/4 x 22 1/8in. (38.7 x 56.2 cm),,Purchase
32.42,PC,Drawings,Maurice Prendergast,Prendergast Maurice,"Central Park, 1901",1901,1901,Watercolor and graphite pencil on paper,Sheet (Irregular): 15 3/16 x 22 1/16in. (38.6 x 56 cm),,Purchase
32.43,PC,Paintings,Charles Sheeler,Sheeler Charles,River Rouge Plant,1932,1932,Oil and pencil on canvas,Overall (sight): 20 3/8 x 24 5/16in. (51.8 x 61.8 cm),,Purchase
32.44,PC,Drawings,Glenn O. Coleman,Coleman Glenn O.,Street Bathers,(c. 1906),1901,Lithographic crayon on paper,Sheet: 11 3/4 x 16in. (29.8 x 40.6 cm),,Purchase
32.45,PC,Drawings,Jo Rollo,Rollo Jo,Head,1932,1932,Fabricated chalk on paper,Sheet: 12 5/16 x 9 1/8in. (31.3 x 23.2 cm),Brown fabricated chalk on paper,Purchase
32.47,PC,Paintings,Dorothy Varian,Varian Dorothy,Still Life,1932,1932,Oil on linen,Overall: 19 x 24 1/8in. (48.3 x 61.3 cm),,Purchase
32.48,PC,Paintings,Maurice Prendergast,Prendergast Maurice,Cinerarias and Fruit,-1915,1915,Oil on linen,"Overall: 21 x 27in. (53.3 x 68.6 cm)
Image: 20 11/16 x 26 13/16in. (52.5 x 68.1 cm)",,Purchase
32.49,PC,Paintings,Jo Rollo,Rollo Jo,Green Apples,1930,1930,Oil on canvas,Overall: 12 3/16 x 16 3/16in. (31 x 41.1 cm),,Purchase
32.5,PC,Paintings,Jo Rollo,Rollo Jo,Head of a Young Girl,1932,1932,Oil on linen,Overall: 17 1/16 x 14in. (43.3 x 35.6 cm),,Purchase
32.51,PC,Paintings,Madeline Shiff,Shiff Madeline,Wiltz at Work,1932,1932,Oil on canvas,Overall: 18 x 15in. (45.7 x 38.1 cm),,Purchase
32.52,PC,Drawings,George Bernard Wheeler,Wheeler George Bernard,The Sphinx,1924,1924,Pen and ink and brush and ink on board,Sheet: 22 x 28in. (55.9 x 71.1 cm),,Purchase
32.53,PC,Drawings,Robert Philipp,Philipp Robert,Fruit,-1932,1932,Pastel on paper,Sheet: 19 5/8 x 25 5/8in. (49.8 x 65.1 cm),,Purchase
32.54a-b,PC,Sculpture,Saul Baizerman,Baizerman Saul,The Road Builder's Horse,(1921-1922),1921,Bronze on wood base,"Overall: 3 3/4 x 8 5/8 x 3 1/2in. (9.5 x 21.9 x 8.9 cm)
Overall (with base): 4 3/4 x 10 1/2 x 6 3/8in. (12.1 x 26.7 x 16.2 cm)",,Purchase
32.55,PC,Drawings,Harry Gottlieb,Gottlieb Harry,Javanese Dancer,-1932,1932,Transparent and opaque watercolor and graphite pencil on paper,Sheet: 29 5/16 x 20 1/2in. (74.5 x 52.1 cm),,Purchase
32.62,PC,Drawings,Harley Perkins,Perkins Harley,"Fjord, Norway",1930,1930,Watercolor on paper,Sheet: 15 1/8 x 22in. (38.4 x 55.9 cm),,Purchase
32.63,PC,Drawings,Harley Perkins,Perkins Harley,Majorcan Scene,1931,1931,Transparent and opaque watercolor and charcoal on paper,Sheet: 15 1/2 x 22 3/8in. (39.4 x 56.8 cm),,Purchase
32.64,PC,Drawings,George Biddle,Biddle George,Emporium,1930,1930,Watercolor and graphite pencil on paper,Sheet (Irregular): 20 1/4 x 14 15/16in. (51.4 x 37.9 cm),,Purchase
32.65,PC,Drawings,George Biddle,Biddle George,Cow and Calf,1931,1931,Brush and ink and graphite pencil on paper,Sheet: 9 x 12 9/16in. (22.9 x 31.9 cm),,Purchase
32.66,PC,Drawings,George Biddle,Biddle George,Italian Peasants,1931,1931,"Pen and ink, brush and ink, and graphite pencil on paper",Sheet: 9 1/4 x 12 5/8in. (23.5 x 32.1 cm),,Purchase
32.67a-b,PC,Drawings,Louis G. Ferstadt,Ferstadt Louis G.,Park Pond,1932,1932,Watercolor on paper,Sheet (Irregular): 14 x 20in. (35.6 x 50.8 cm),,Purchase
32.68,PC,Drawings,Julius Bloch,Bloch Julius,Kingston,1932,1932,"Transparent and opaque watercolor, graphite pencil, and fabricated chalk on paper mounted on board","Sheet: 13 5/8 x 17 7/8in. (34.6 x 45.4 cm)
Mount (board): 13 5/8 x 17 7/8 x 1/16in. (34.6 x 45.4 x 0.2 cm)","Transparent and opaque watercolor, graphite pencil, and black fabricated chalk on paper mounted on board",Purchase
32.69,PC,Drawings,L. Jean Liberte,Liberte L. Jean,Mother and Child,1932,1932,Oil on paper,Sheet: 15 x 20in. (38.1 x 50.8 cm),,Purchase
32.71,PC,Sculpture,Richmond Barthé,Barthé Richmond,The Blackberry Woman,1932,1932,Bronze,Overall: 33 3/4 x 12 1/4 x 14 3/16in. (85.7 x 31.1 x 36 cm),,Purchase
32.72,PC,Sculpture,Eugenie Gershoy,Gershoy Eugenie,Standing Figure,-1932,1932,Terra-cotta,Overall: 16 1/4 x 6 7/8 x 6 7/8in. (41.3 x 17.5 x 17.5 cm),,Purchase
32.73a-c,PC,Sculpture,"James House, Jr.","House, Jr. James",Negro Head,1931,1931,Wood,Overall: 12 3/4 x 6 1/8 x 2 15/16in. (32.4 x 15.6 x 7.5 cm),,Purchase
32.74,PC,Sculpture,Harriette G. Miller,Miller Harriette G.,New England Winter,(c.1931),1926,Glazed ceramic tile,"Overall (with frame): 20 1/2 x 25 1/2 x 1 5/8in. (52.1 x 64.8 x 4.1 cm)
Overall: 15 3/8 x 20 1/2 x 1 3/8in. (39.1 x 52.1 x 3.5 cm)",,Gift of Gertrude Vanderbilt Whitney
32.83,PC,Sculpture,Nancy Elizabeth Prophet,Prophet Nancy Elizabeth,Congolais,-1931,1931,Cherry,Overall: 16 13/16 x 7 7/8 x 9 1/4in. (42.7 x 20 x 23.5 cm),,Purchase
32.84,PC,Prints,Peggy Bacon,Bacon Peggy,Aesthetic Pleasure,1932,1932,Lithograph,"Sheet: 13 3/8 x 18 1/2in. (34 x 47 cm)
Image: 9 3/4 x 15 1/4in. (24.8 x 38.7 cm)",,Purchase
32.85,PC,Prints,Peggy Bacon,Bacon Peggy,The Ardent Bowlers,1932,1932,Drypoint,"Sheet: 11 3/8 x 18 5/8in. (28.9 x 47.3 cm)
Plate: 6 x 13 15/16in. (15.2 x 35.4 cm)",,Purchase
32.86,PC,Prints,George Biddle,Biddle George,Self Portrait,1932,1932,Lithograph,"Sheet (Irregular): 17 7/8 x 13 13/16in. (45.4 x 35.1 cm)
Image: 10 1/2 x 8in. (26.7 x 20.3 cm)",,Purchase
32.87,PC,Prints,Isabel Bishop,Bishop Isabel,At the Base of the Flagpole,-1928,1928,Etching,"Sheet: 8 1/2 x 11in. (21.6 x 27.9 cm)
Plate: 5 x 6in. (12.7 x 15.2 cm)",,Purchase
32.88,PC,Prints,Arnold Blanch,Blanch Arnold,Arizona,n.d.,0,Lithograph,"Sheet (Irregular): 17 1/2 x 22 11/16in. (44.5 x 57.6 cm)
Image: 12 1/8 x 16 3/4in. (30.8 x 42.5 cm)",,Purchase
32.9,PC,Prints,John Steuart Curry,Curry John Steuart,Horses Running before a Storm,1930,1930,Lithograph,"Sheet (Irregular): 11 9/16 x 16 1/8in. (29.4 x 41 cm)
Image: 9 1/2 x 13 1/16in. (24.1 x 33.2 cm)",,Purchase
32.91,PC,Prints,Emil Ganso,Ganso Emil,Silos in Snow,-1932,1932,Etching and aquatint,"Sheet (Irregular): 11 1/8 x 13 15/16in. (28.3 x 35.4 cm)
Plate: 8 7/8 x 10 15/16in. (22.5 x 27.8 cm)","Etching, soft-ground, and aquating",Purchase
32.92,PC,Prints,Emil Ganso,Ganso Emil,Young Girl Reclining,-1932,1932,Etching and aquatint,"Sheet (Irregular): 11 5/8 x 16in. (29.5 x 40.6 cm)
Plate: 5 x 9 7/8in. (12.7 x 25.1 cm)",,Purchase
32.93,PC,Prints,Glenn O. Coleman,Coleman Glenn O.,Fulton Market,1931,1931,Lithograph,"Sheet (Irregular): 20 5/16 x 16 1/16in. (51.6 x 40.8 cm)
Image: 16 7/8 x 12 1/4in. (42.9 x 31.1 cm)",,Purchase
32.94,PC,Prints,Glenn O. Coleman,Coleman Glenn O.,Rockport,1931,1931,Lithograph,"Sheet (Irregular): 16 x 22 1/8in. (40.6 x 56.2 cm)
Image: 12 1/4 x 14 3/4in. (31.1 x 37.5 cm)",,Purchase
32.95,PC,Prints,Glenn O. Coleman,Coleman Glenn O.,Street Scene,(c. 1931-1932),1931,Lithograph,"Sheet (Irregular): 21 1/4 x 16 1/16in. (54 x 40.8 cm)
Image (Irregular): 16 x 10 5/16in. (40.6 x 26.2 cm)",,Purchase
32.96,PC,Prints,John Steuart Curry,Curry John Steuart,Ajax,1932,1932,Lithograph,"Sheet (Irregular): 11 1/2 x 16in. (29.2 x 40.6 cm)
Image: 9 7/8 x 13 3/4in. (25.1 x 34.9 cm)",,Purchase
32.97,PC,Prints,John Steuart Curry,Curry John Steuart,The Tornado,1932,1932,Lithograph,"Sheet (Irregular): 11 3/8 x 15 7/8in. (28.9 x 40.3 cm)
Image: 9 15/16 x 14 1/8in. (25.2 x 35.9 cm)",,Purchase
32.98,PC,Prints,Adolf Dehn,Dehn Adolf,Little Sinner,1928,1928,Lithograph,"Sheet: 18 1/8 x 13 9/16in. (46 x 34.4 cm)
Image: 13 1/8 x 9 1/8in. (33.3 x 23.2 cm)",,Purchase
32.99,PC,Prints,Adolf Dehn,Dehn Adolf,Winter Hills,1931,1931,Lithograph,"Sheet (Irregular): 12 1/2 x 17in. (31.8 x 43.2 cm)
Image: 9 13/16 x 13 7/8in. (24.9 x 35.2 cm)",,Purchase
32.1,PC,Prints,Mabel Dwight,Dwight Mabel,Self-Portrait,1932,1932,Lithograph,"Sheet (Irregular): 15 15/16 x 11 1/2in. (40.5 x 29.2 cm)
Image: 10 9/16 x 8 5/16in. (26.8 x 21.1 cm)",,Purchase
32.101,PC,Prints,Ernest Fiene,Fiene Ernest,Under the Brooklyn Bridge,1932,1932,Lithograph,"Sheet: 16 x 21 7/8in. (40.6 x 55.6 cm)
Image: 12 7/8 x 17 9/16in. (32.7 x 44.6 cm)",,Purchase
32.102,PC,Prints,Don Freeman,Freeman Don,Shubert Alley,-1932,1932,Lithograph,"Sheet (Irregular): 11 7/16 x 17 1/2in. (29.1 x 44.5 cm)
Image: 9 3/4 x 12 5/8in. (24.8 x 32.1 cm)",,Purchase
32.103,PC,Prints,Wanda Gag,Gag Wanda,The Forge,1932,1932,Lithograph,"Sheet: 13 3/4 x 18 3/8in. (34.9 x 46.7 cm)
Image: 11 1/2 x 13 3/4in. (29.2 x 34.9 cm)",,Purchase
32.104,PC,Prints,Emil Ganso,Ganso Emil,Sunny Room,-1931,1931,Lithograph,"Sheet (Irregular): 11 7/16 x 13 3/16in. (29.1 x 33.5 cm)
Image: 8 3/8 x 10in. (21.3 x 25.4 cm)",Color lithograph,Purchase
32.105,PC,Prints,Emil Ganso,Ganso Emil,Bearsville Meadow,(c. 1928),1928,Lithograph with chine-collé,"Sheet: 14 3/8 x 19 5/16in. (36.5 x 49.1 cm)
Image: 11 1/16 x 15in. (28.1 x 38.1 cm)",,Purchase
32.106,PC,Prints,Emil Ganso,Ganso Emil,Girl at Table,-1932,1932,Lithograph with chine-collé,"Sheet: 17 13/16 x 13 7/16in. (45.2 x 34.1 cm)
Image: 14 9/16 x 10 7/8in. (37 x 27.6 cm)",,Purchase
32.107,PC,Prints,Emil Ganso,Ganso Emil,Still Life with Pitcher,-1932,1932,Wood engraving,"Sheet (Irregular): 10 5/8 x 13 13/16in. (27 x 35.1 cm)
Image: 8 x 10 1/8in. (20.3 x 25.7 cm)",,Purchase
32.108,PC,Prints,Eugenie Gershoy,Gershoy Eugenie,"Street Scene, Granada",1932,1932,Lithograph with chine-collé,"Sheet: 12 5/16 x 17 9/16in. (31.3 x 44.6 cm)
Image: 7 15/16 x 10in. (20.2 x 25.4 cm)",,Purchase
32.109,PC,Prints,Harry Gottlieb,Gottlieb Harry,Along the River,1932,1932,Lithograph with chine-collé,"Sheet (Irregular): 12 3/4 x 18 5/8in. (32.4 x 47.3 cm)
Image: 9 3/4 x 14in. (24.8 x 35.6 cm)",,Purchase
32.11,PC,Prints,George Overbury (Pop) Hart,Hart George Overbury (Pop),The Jury,-1927,1927,Lithograph,"Sheet: 16 x 21in. (40.6 x 53.3 cm)
Image: 12 7/8 x 16 3/4in. (32.7 x 42.6 cm)",,Purchase
32.111,PC,Prints,George Overbury (Pop) Hart,Hart George Overbury (Pop),Mexican Orchestra,(c. 1928),1928,Lithograph,"Sheet (Irregular): 22 5/16 x 29 7/8in. (56.7 x 75.9 cm)
Image: 17 7/8 x 24in. (45.4 x 61 cm)",Color lithograph,Purchase
32.112,PC,Prints,Stefan Hirsch,Hirsch Stefan,The Lonely Donkey,1932,1932,Lithograph,"Sheet: 11 3/8 x 16 1/16in. (28.9 x 40.8 cm)
Image: 8 1/8 x 13 1/8in. (20.6 x 33.3 cm)",,Purchase
32.113,PC,Prints,Charles Locke,Locke Charles,Joe's Place,-1932,1932,Lithograph,"Sheet: 12 1/2 x 18 1/2in. (31.8 x 47 cm)
Image: 8 1/2 x 12 3/4in. (21.6 x 32.4 cm)",,Purchase
32.114,PC,Prints,Salvatore Pinto,Pinto Salvatore,Beach Scene,n.d.,0,Wood engraving,"Sheet: 10 7/8 x 15 11/16in. (27.6 x 39.8 cm)
Image: 6 3/4 x 8 7/16in. (17.1 x 21.4 cm)",,Purchase
32.115,PC,Prints,Salvatore Pinto,Pinto Salvatore,Power House,n.d.,0,Wood engraving,"Sheet (Irregular): 15 1/2 x 10 13/16in. (39.4 x 27.5 cm)
Image: 8 1/2 x 6 11/16in. (21.6 x 17 cm)",,Purchase
32.116,PC,Prints,Caroline Speare Rohland,Rohland Caroline Speare,Coney Island,-1928,1928,Lithograph,"Sheet: 17 13/16 x 14 1/8in. (45.2 x 35.9 cm)
Image: 16 1/8 x 12 3/8in. (41 x 31.4 cm)",,Purchase
32.117,PC,Prints,Caroline Speare Rohland,Rohland Caroline Speare,Darkies' Mardi Gras,(c. 1930),1930,Lithograph,"Sheet: 11 1/2 x 15 3/4in. (29.2 x 40 cm)
Image: 9 5/8 x 13 3/16in. (24.5 x 33.5 cm)",,Purchase
32.118,PC,Prints,Caroline Speare Rohland,Rohland Caroline Speare,Sunday,-1929,1929,Lithograph,"Sheet (Irregular): 12 7/16 x 17 1/16in. (31.6 x 43.3 cm)
Image: 10 5/8 x 14 13/16in. (27 x 37.6 cm)",,Purchase
32.119,PC,Prints,Andrée Ruellan,Ruellan Andrée,Bavarian Chimney Sweep,-1932,1932,Lithograph with chine-collé,"Sheet: 13 3/8 x 9 1/8in. (34 x 23.2 cm)
Image: 12 5/8 x 8 5/8in. (32.1 x 21.9 cm)
Mount (Irregular): 17 3/4 x 12 5/8in. (45.1 x 32.1 cm)",,Purchase
32.12,PC,Prints,Raphael Soyer,Soyer Raphael,Self Portrait,-1932,1932,Lithograph,"Sheet: 16 x 11 7/16in. (40.6 x 29.1 cm)
Image: 8 5/8 x 6 1/8in. (21.9 x 15.6 cm)",,Purchase
32.121,PC,Prints,Harry Sternberg,Sternberg Harry,Principle #7,-1930,1930,Etching,"Sheet (Irregular): 13 11/16 x 17 3/8in. (34.8 x 44.1 cm)
Plate: 11 7/8 x 14 7/8in. (30.2 x 37.8 cm)",,Purchase
32.122,PC,Prints,Harry Sternberg,Sternberg Harry,Wrestlers #4,-1930,1930,Etching and aquatint,"Sheet (Irregular): 15 5/16 x 12 3/16in. (38.9 x 31 cm)
Plate: 13 7/8 x 10 7/8in. (35.2 x 27.6 cm)",,Purchase
32.123,PC,Prints,Harry Sternberg,Sternberg Harry,Principle #2,1930,1930,Aquatint and etching,"Sheet: 12 1/2 x 16 1/2in. (31.8 x 41.9 cm)
Plate: 10 3/4 x 14 13/16in. (27.3 x 37.6 cm)",,Purchase
32.124,PC,Prints,Harry Sternberg,Sternberg Harry,Self Portrait,1932,1932,Etching,"Sheet: 10 5/8 x 8 5/8in. (27 x 21.9 cm)
Plate: 8 7/8 x 7 5/16in. (22.5 x 18.6 cm)",,Purchase
32.125,PC,Prints,Max Weber,Weber Max,After Bathing,-1932,1932,Lithograph,"Sheet (Irregular): 17 1/8 x 20 1/2in. (43.5 x 52.1 cm)
Image: 15 3/8 x 18in. (39.1 x 45.7 cm)",,Purchase
32.126,PC,Prints,Harry Wickey,Wickey Harry,Railroad Cut - No. 3,1932,1932,Etching,"Sheet: 10 1/8 x 13 3/8in. (25.7 x 34 cm)
Plate: 7 15/16 x 11 13/16in. (20.2 x 30 cm)",,Purchase
32.127,PC,Prints,Henry Ziegler,Ziegler Henry,Snake Bit,(c. 1932),1932,Etching,"Sheet (Irregular): 9 3/4 x 12 7/8in. (24.8 x 32.7 cm)
Plate: 7 15/16 x 9 13/16in. (20.2 x 24.9 cm)",,Purchase
32.131,PC,Prints,Adolf Dehn,Dehn Adolf,Up in Harlem,1932,1932,Lithograph with chine-collé,"Sheet (Irregular): 12 13/16 x 18in. (32.5 x 45.7 cm)
Image: 8 3/4 x 13 3/4in. (22.2 x 34.9 cm)",,Purchase
32.132,PC,Prints,Adolf Dehn,Dehn Adolf,Gladys at the Clam House,1931,1931,Lithograph with chine-collé,"Sheet: 12 3/4 x 18 3/8in. (32.4 x 46.7 cm)
Image: 10 x 15 3/16in. (25.4 x 38.6 cm)",,Purchase
32.133,PC,Drawings,Karl Free,Free Karl,The Six Orlandos,-1928,1928,Transparent and opaque watercolor and graphite pencil on paper,Sheet (Irregular): 12 3/4 x 19 7/16in. (32.4 x 49.4 cm),,Purchase
33.1,PC,Paintings,Jozef G. Bakos,Bakos Jozef G.,Santa Fe Canyon,-1931,1931,Oil on linen,Overall: 32 1/4 x 40in. (81.9 x 101.6 cm),,Purchase
33.3,PC,Paintings,Lucile Blanch,Blanch Lucile,August Landscape,1932,1932,Oil and ink on linen,Overall: 22 x 28in. (55.9 x 71.1 cm),,Purchase
33.4,PC,Paintings,Oscar Bluemner,Bluemner Oscar,Composition,-1931,1931,Oil on wood,Overall (sight): 30 1/16 x 24in. (76.4 x 61 cm),,Purchase
33.5,PC,Paintings,Peter Blume,Blume Peter,Light of the World,1932,1932,Oil on composition board,"Overall: 16 5/8 x 18 7/8in. (42.2 x 47.9 cm)
Frame (metal, silver): 18 1/8 x 20 3/16 x 1 5/16in. (46 x 51.3 x 3.3 cm)",,Purchase
33.6,PC,Paintings,Louis Bouché,Bouché Louis,Stamford Harbor,1932,1932,Oil on linen,Overall: 29 3/8 x 36 1/4in. (74.6 x 92.1 cm),,Purchase
